DisciplineName,EventUnitName,ID,DisciplineCode,GenderCode,EventCode,PhaseCode,EventID,EventName,PhaseID,PhaseName,DisciplineID,EventOrder,PhaseType,EventUnitType,OlympicDay,StartDate,EndDate,Venue,VenueDescription,Location,LocationDescription,Status,StatusDescription,CompetitorCode,NOC,CompetitorName,Position,Mark,MedalType,IRM
Baloncesto 3x3,"Masculino, ronda de grupos",BK3MTEAM3-------------GPA-002000--,BK3,M,,GPA-,BK3MTEAM3-------------------------,Masculino,BK3MTEAM3-------------GPA---------,"Masculino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T14:05:00+02:00,2024-08-02T14:30:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3MTEAM3---FRA01,FRA,Francia,,,,
Baloncesto 3x3,"Masculino, ronda de grupos",BK3MTEAM3-------------GPA-002000--,BK3,M,,GPA-,BK3MTEAM3-------------------------,Masculino,BK3MTEAM3-------------GPA---------,"Masculino, ronda de grupos",BK3-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T14:05:00+02:00,2024-08-02T14:30:00+02:00,LC1,La Concorde 1,LC1,La Concorde 1,SCHEDULED,Programado,BK3MTEAM3---LAT01,LAT,Letonia,,,,
Fútbol,"Masculino, cuartos de final",FBLMTEAM11------------QFNL000300--,FBL,M,,QFNL,FBLMTEAM11------------------------,Masculino,FBLMTEAM11------------QFNL--------,"Masculino, cuartos de final",FBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T15:00:00+02:00,2024-08-02T18:00:00+02:00,PDP,Parque de los Príncipes,PDP,Parque de los Príncipes,SCHEDULED,Programado,B1,,1B,,,,
Fútbol,"Masculino, cuartos de final",FBLMTEAM11------------QFNL000300--,FBL,M,,QFNL,FBLMTEAM11------------------------,Masculino,FBLMTEAM11------------QFNL--------,"Masculino, cuartos de final",FBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T15:00:00+02:00,2024-08-02T18:00:00+02:00,PDP,Parque de los Príncipes,PDP,Parque de los Príncipes,SCHEDULED,Programado,A2,,2A,,,,
Voleibol de playa,"Masculino, preliminares - grupo F",VBVMTEAM2-------------GPF-000500--,VBV,M,,GPF-,VBVMTEAM2-------------------------,Masculino,VBVMTEAM2-------------GPF---------,"Masc., fase preliminar, partidos grupo F",VBV-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T15:00:00+02:00,2024-08-02T15:50:00+02:00,EIF,Estadio Torre Eiffel,BV0,Estadio de la Torre Eiffel - Pista central,SCHEDULED,Programado,VBVMTEAM2---ESP01,ESP,HERRERA/GAVIRA,,,,
Voleibol de playa,"Masculino, preliminares - grupo F",VBVMTEAM2-------------GPF-000500--,VBV,M,,GPF-,VBVMTEAM2-------------------------,Masculino,VBVMTEAM2-------------GPF---------,"Masc., fase preliminar, partidos grupo F",VBV-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T15:00:00+02:00,2024-08-02T15:50:00+02:00,EIF,Estadio Torre Eiffel,BV0,Estadio de la Torre Eiffel - Pista central,SCHEDULED,Programado,VBVMTEAM2---USA02,USA,EVANS/BUDINGER,,,,
Waterpolo,"Femenino, ronda preliminar - grupo B",WPOWTEAM7-------------GPB-000700--,WPO,W,,GPB-,WPOWTEAM7-------------------------,Femenino,WPOWTEAM7-------------GPB---------,"Femenino, eliminatoria previa, grupo B",WPO-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T15:35:00+02:00,2024-08-02T17:00:00+02:00,AQC,Centro Acuático,AQC,Centro Acuático,SCHEDULED,Programado,WPOWTEAM7---GRE01,GRE,Grecia,,,,
Waterpolo,"Femenino, ronda preliminar - grupo B",WPOWTEAM7-------------GPB-000700--,WPO,W,,GPB-,WPOWTEAM7-------------------------,Femenino,WPOWTEAM7-------------GPB---------,"Femenino, eliminatoria previa, grupo B",WPO-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T15:35:00+02:00,2024-08-02T17:00:00+02:00,AQC,Centro Acuático,AQC,Centro Acuático,SCHEDULED,Programado,WPOWTEAM7---ITA01,ITA,Italia,,,,
Balonmano,"Masculino, ronda preliminar - Grupo A",HBLMTEAM7-------------GPA-001100--,HBL,M,,GPA-,HBLMTEAM7-------------------------,Masculino,HBLMTEAM7-------------GPA---------,"Masculino, ronda preliminar - grupo A",HBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T16:00:00+02:00,2024-08-02T17:30:00+02:00,SP6,Paris Sur Arena 6,SP6,South Paris Arena 6,SCHEDULED,Programado,HBLMTEAM7---GER01,GER,Alemania,,,,
Balonmano,"Masculino, ronda preliminar - Grupo A",HBLMTEAM7-------------GPA-001100--,HBL,M,,GPA-,HBLMTEAM7-------------------------,Masculino,HBLMTEAM7-------------GPA---------,"Masculino, ronda preliminar - grupo A",HBL-------------------------------,0,3,HTEAM,2024-08-02,2024-08-02T16:00:00+02:00,2024-08-02T17:30:00+02:00,SP6,Paris Sur Arena 6,SP6,South Paris Arena 6,SCHEDULED,Programado,HBLMTEAM7---ESP01,ESP,España,,,,
